image_name,x1,x2,y1,y2
1474723840903DSC08089.png,105.86519,489.09818,123.80585,363.64023
1473231475010DeeplearnS11276.png,151.44153,491.0493,63.960007,373.34473
JPEG_20161205_135307_1000155917326.png,120.14378,546.0348,29.519516,412.68
JPEG_20160711_123440_1000518778437.png,172.68088,462.34607,64.69011,404.23273
JPEG_20160803_115329_100034020722.png,138.0857,515.5381,83.58066,385.5773
147444974116511473239803010-Mast--Harbour-Men-Blue-Printed-Regular-Boat-Shoes-3651473239802717-2.png,179.77089,445.67505,88.75728,351.13403
JPEG_20160622_110649_1000527459853.png,135.03862,496.89667,46.93895,397.58722
JPEG_20160823_120737_1000784898268.png,178.47726,430.74963,92.53163,355.7727
1480965956645IMG_3094.png,151.06958,499.09924,70.88225,386.57535
14732348976417a565e40d545452688130062b267a2d2.png,152.01706,455.34192,125.37176,344.0757
1474723374370DSC07852.png,129.98656,503.296,70.9093,381.0833
JPEG_20160820_111118_100011668802.png,149.78032,498.38727,42.192566,414.66296
JPEG_20160706_105226_100087855419.png,191.22025,461.25543,69.99176,375.16327
JPEG_20160621_155839_100073846506.png,116.59102,488.67688,37.50923,405.05087
1480940089861_R2A1904.png,162.34273,461.60556,17.04126,461.0505
1474637513144DSC06780.png,24.840546,618.0154,94.932556,378.70483
JPEG_20161123_170015_1000183903221.png,198.20154,433.7293,62.911423,390.23874
JPEG_20161205_152655_1000319785884.png,138.64554,514.77997,102.732925,357.2462
14806550588121473324459p2-500x500.png,120.14378,546.0348,29.519516,412.68
JPEG_20160913_110021_1000554801748.png,172.18207,462.93195,64.62721,404.8911
JPEG_20161028_113656_1000884495593.png,172.68088,462.34607,64.69011,404.23273
1480485006674IMG_20161129_181135.png,232.40228,403.12677,132.68439,372.05554
1468666217374JPEG_20160712_164026_1000951901481.png,80.178696,564.84955,85.60205,369.3413
1475159286472DSC08150.png,173.32939,482.50043,11.077087,460.65475
1473662770499DeeplearnS11593.png,56.618134,608.3558,136.43173,322.13733
JPEG_20161121_172423_1000451802749.png,181.15771,575.7128,25.87387,456.51404
JPEG_20160711_112635_1000386061474.png,176.26886,574.6905,41.122833,446.09174
JPEG_20161125_170806_1000294132098.png,164.7175,572.3236,39.365234,448.5528
1473664771684DeeplearnS11641.png,166.31122,529.93256,25.22319,388.2272
JPEG_20161125_142000_1000881308475.png,169.44861,567.9452,52.864914,439.18585
JPEG_20161118_130619_1000234318180.png,168.65292,583.7598,41.74179,448.0543
JPEG_20161126_173920_1000722732321.png,178.57553,557.3827,52.629776,440.1247
1480965914378IMG_3091.png,165.41684,510.7971,128.55756,371.86224
JPEG_20161028_113801_1000834228994.png,32.854492,582.0394,11.724823,444.2318
JPEG_20160527_132045_1000754722948.png,60.616455,614.2343,130.87845,320.11517
1474630500639DSC08168.png,163.39519,583.65295,72.01492,441.3857
1480604337122_R2A5871.png,155.96452,591.6157,45.346115,444.22577
JPEG_20160526_131015_1000774672877.png,192.37228,575.64325,60.845642,442.16928
JPEG_20161124_133820_1000408773191.png,21.802734,608.27344,7.0871887,471.1305
JPEG_20161202_175058_1000981167934.png,83.95235,581.1583,39.464203,434.81036
JPEG_20160628_125830_1000217908431.png,211.7988,556.14526,37.70726,431.24097
JPEG_20160820_160507_1000249071692.png,183.57074,579.33374,43.337296,439.98892
JPEG_20160805_183420_1000172602371.png,222.53897,526.28076,34.250824,407.7906
JPEG_20161130_165327_1000403284746.png,172.49927,574.9016,39.259995,434.88763
JPEG_20160607_164241_1000166500949.png,172.40727,575.87854,29.936172,438.1004
JPEG_20160625_121426_1000756352197.png,196.71043,548.86804,36.07547,432.95865
147771816901820161028_154719.png,197.18814,545.89246,38.717575,450.86664
